true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.834739,0.164439,0.000000,0.000000,0.000822,0.000000,0.000000,0.000000,0.000000
DoS,0.478450,0.521550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
double,0.655281,0.341497,0.000000,0.000000,0.003222,0.000000,0.000000,0.000000,0.000000
force-neutral,0.275940,0.724060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuzzing,0.916638,0.083005,0.000000,0.000000,0.000357,0.000000,0.000000,0.000000,0.000000
interval,0.958635,0.041365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rpm,0.799524,0.142376,0.000000,0.000000,0.058100,0.000000,0.000000,0.000000,0.000000
rpm-accessory,0.727908,0.084552,0.000000,0.000000,0.187540,0.000000,0.000000,0.000000,0.000000
speed,0.311203,0.688797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
