true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,34809095,6857220,0,0,34277,0,0,0,0
DoS,69437,75692,0,0,0,0,0,0,0
double,8134,4239,0,0,40,0,0,0,0
force-neutral,1585,4159,0,0,0,0,0,0,0
fuzzing,61709,5588,0,0,24,0,0,0,0
interval,38865,1677,0,0,0,0,0,0,0
rpm,4032,718,0,0,293,0,0,0,0
rpm-accessory,2290,266,0,0,590,0,0,0,0
speed,2325,5146,0,0,0,0,0,0,0
