true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.894450,0.105505,0.000000,0.000000,0.000044,0.000000,0.000000,0.000000,0.000000
DoS,0.635958,0.364042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
double,0.827278,0.172722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
force-neutral,0.992166,0.007834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuzzing,0.956032,0.043968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
interval,0.977505,0.022495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rpm,0.819155,0.160222,0.000000,0.000000,0.020623,0.000000,0.000000,0.000000,0.000000
rpm-accessory,0.987921,0.005404,0.000000,0.000000,0.006675,0.000000,0.000000,0.000000,0.000000
speed,0.402757,0.597243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
