true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,35772577,5927291,0,0,724,0,0,0,0
DoS,65568,79561,0,0,0,0,0,0,0
double,9065,3348,0,0,0,0,0,0,0
force-neutral,4964,780,0,0,0,0,0,0,0
fuzzing,62007,5312,0,0,2,0,0,0,0
interval,39172,1370,0,0,0,0,0,0,0
rpm,4813,230,0,0,0,0,0,0,0
rpm-accessory,3126,20,0,0,0,0,0,0,0
speed,3288,4183,0,0,0,0,0,0,0
