true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.959265,0.031126,0.000000,0.000000,0.009610,0.000000
DoS,0.478450,0.521550,0.000000,0.000000,0.000000,0.000000
double,0.847176,0.138242,0.000000,0.000000,0.014581,0.000000
force-neutral,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuzzing,0.875358,0.072711,0.000000,0.000000,0.051930,0.000000
interval,0.990676,0.009324,0.000000,0.000000,0.000000,0.000000
