true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,0,1,0,2158277,20,1927
class_1,0,24928,1,186,303685,180
class_2,0,0,2,4,1551,0
class_3,0,0,0,1346887,5,1021
class_4,0,2,0,14,40003,0
class_5,0,0,0,290,26,84942
