true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,0.000000,0.000000,0.000000,0.999098,0.000009,0.000892
class_1,0.000000,0.075774,0.000003,0.000565,0.923111,0.000547
class_2,0.000000,0.000000,0.001285,0.002569,0.996146,0.000000
class_3,0.000000,0.000000,0.000000,0.999239,0.000004,0.000757
class_4,0.000000,0.000050,0.000000,0.000350,0.999600,0.000000
class_5,0.000000,0.000000,0.000000,0.003401,0.000305,0.996294
