true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.891785,0.107548,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.000000
DoS,0.478450,0.521550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
double,0.644888,0.338758,0.000000,0.000000,0.016354,0.000000,0.000000,0.000000,0.000000
force-neutral,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuzzing,0.919475,0.080465,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000
interval,0.492650,0.507350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rpm,0.427325,0.533809,0.000000,0.000000,0.038866,0.000000,0.000000,0.000000,0.000000
rpm-accessory,0.178957,0.026383,0.000000,0.000000,0.794660,0.000000,0.000000,0.000000,0.000000
speed,0.805247,0.194753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
