true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.902487,0.027354,0.000000,0.000000,0.070158,0.000000
DoS,0.863363,0.105554,0.000000,0.000000,0.031083,0.000000
double,0.829534,0.016434,0.000000,0.000000,0.154032,0.000000
force-neutral,0.929492,0.000000,0.000000,0.000000,0.070508,0.000000
fuzzing,0.799275,0.014602,0.000000,0.000000,0.186123,0.000000
interval,0.819570,0.130186,0.000000,0.000000,0.050244,0.000000
